Input: 01011101 |Input 7bit: x1011101| tia_word_p: 0100011 | tia_word_n: 1011110 | Diff: -59
Input: 01011110 |Input 7bit: x1011110| tia_word_p: 0100001 | tia_word_n: 1011100 | Diff: -59
Input: 01011111 |Input 7bit: x1011111| tia_word_p: 0100001 | tia_word_n: 1011110 | Diff: -61
Input: 01100000 |Input 7bit: x1100000| tia_word_p: 0011111 | tia_word_n: 1100000 | Diff: -65
Input: 01100001 |Input 7bit: x1100001| tia_word_p: 0011111 | tia_word_n: 1100010 | Diff: -67
Input: 01100010 |Input 7bit: x1100010| tia_word_p: 0011101 | tia_word_n: 1100000 | Diff: -67
Input: 01100011 |Input 7bit: x1100011| tia_word_p: 0011101 | tia_word_n: 1100010 | Diff: -69
Input: 01100100 |Input 7bit: x1100100| tia_word_p: 0011011 | tia_word_n: 1100100 | Diff: -73
Input: 01100101 |Input 7bit: x1100101| tia_word_p: 0011011 | tia_word_n: 1100110 | Diff: -75
Input: 01100110 |Input 7bit: x1100110| tia_word_p: 0011001 | tia_word_n: 1100100 | Diff: -75
Input: 01100111 |Input 7bit: x1100111| tia_word_p: 0011001 | tia_word_n: 1100110 | Diff: -77
Input: 01101000 |Input 7bit: x1101000| tia_word_p: 0010111 | tia_word_n: 1101000 | Diff: -81
Input: 01101001 |Input 7bit: x1101001| tia_word_p: 0010111 | tia_word_n: 1101010 | Diff: -83
Input: 01101010 |Input 7bit: x1101010| tia_word_p: 0010101 | tia_word_n: 1101000 | Diff: -83
Input: 01101011 |Input 7bit: x1101011| tia_word_p: 0010101 | tia_word_n: 1101010 | Diff: -85
Input: 01101100 |Input 7bit: x1101100| tia_word_p: 0010011 | tia_word_n: 1101100 | Diff: -89
Input: 01101101 |Input 7bit: x1101101| tia_word_p: 0010011 | tia_word_n: 1101110 | Diff: -91
Input: 01101110 |Input 7bit: x1101110| tia_word_p: 0010001 | tia_word_n: 1101100 | Diff: -91
Input: 01101111 |Input 7bit: x1101111| tia_word_p: 0010001 | tia_word_n: 1101110 | Diff: -93
Input: 01110000 |Input 7bit: x1110000| tia_word_p: 0001111 | tia_word_n: 1110000 | Diff: -97
Input: 01110001 |Input 7bit: x1110001| tia_word_p: 0001111 | tia_word_n: 1110010 | Diff: -99
Input: 01110010 |Input 7bit: x1110010| tia_word_p: 0001101 | tia_word_n: 1110000 | Diff: -99
Input: 01110011 |Input 7bit: x1110011| tia_word_p: 0001101 | tia_word_n: 1110010 | Diff: -101
Input: 01110100 |Input 7bit: x1110100| tia_word_p: 0001011 | tia_word_n: 1110100 | Diff: -105
Input: 01110101 |Input 7bit: x1110101| tia_word_p: 0001011 | tia_word_n: 1110110 | Diff: -107
Input: 01110110 |Input 7bit: x1110110| tia_word_p: 0001001 | tia_word_n: 1110100 | Diff: -107
Input: 01110111 |Input 7bit: x1110111| tia_word_p: 0001001 | tia_word_n: 1110110 | Diff: -109
Input: 01111000 |Input 7bit: x1111000| tia_word_p: 0000111 | tia_word_n: 1111000 | Diff: -113
Input: 01111001 |Input 7bit: x1111001| tia_word_p: 0000111 | tia_word_n: 1111010 | Diff: -115
Input: 01111010 |Input 7bit: x1111010| tia_word_p: 0000101 | tia_word_n: 1111000 | Diff: -115
Input: 01111011 |Input 7bit: x1111011| tia_word_p: 0000101 | tia_word_n: 1111010 | Diff: -117
Input: 01111100 |Input 7bit: x1111100| tia_word_p: 0000011 | tia_word_n: 1111100 | Diff: -121
Input: 01111101 |Input 7bit: x1111101| tia_word_p: 0000011 | tia_word_n: 1111110 | Diff: -123
Input: 01111110 |Input 7bit: x1111110| tia_word_p: 0000001 | tia_word_n: 1111100 | Diff: -123
Input: 01111111 |Input 7bit: x1111111| tia_word_p: 0000001 | tia_word_n: 1111110 | Diff: -125
Input: 10000000 |Input 7bit: x0000000| tia_word_p: 1111111 | tia_word_n: 0000000 | Diff: 127
Input: 10000001 |Input 7bit: x0000001| tia_word_p: 1111111 | tia_word_n: 0000010 | Diff: 125
Input: 10000010 |Input 7bit: x0000010| tia_word_p: 1111101 | tia_word_n: 0000000 | Diff: 125
Input: 10000011 |Input 7bit: x0000011| tia_word_p: 1111101 | tia_word_n: 0000010 | Diff: 123
Input: 10000100 |Input 7bit: x0000100| tia_word_p: 1111011 | tia_word_n: 0000100 | Diff: 119
Input: 10000101 |Input 7bit: x0000101| tia_word_p: 1111011 | tia_word_n: 0000110 | Diff: 117
